--- Attack Generator Started: Writing to data/access.log ---
Press Ctrl+C to stop the generator.
Log Generated: SQL_INJECTION_TRY for user web_master
Log Generated: SUCCESSFUL_LOGIN for user guest
Log Generated: FILE_ACCESS for user web_master
Log Generated: SUCCESSFUL_LOGIN for user guest
Log Generated: SUCCESSFUL_LOGIN for user root
Log Generated: SUDO_ATTEMPT for user frank_fru
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FAILED_LOGIN for user web_master
Log Generated: FILE_ACCESS for user admin
Log Generated: SQL_INJECTION_TRY for user guest
Log Generated: FILE_ACCESS for user admin
Log Generated: SQL_INJECTION_TRY for user guest
Log Generated: FILE_ACCESS for user web_master
Log Generated: SUDO_ATTEMPT for user web_master
